Название,Страна,Население,Основан,Регион,Достопримечательность
Москва,Россия,12678079,1147,Центральный,Красная площадь
Санкт-Петербург,Россия,5398064,1703,Северо-Западный,Эрмитаж
Казань,Россия,1257341,1005,Приволжский,Казанский кремль
Екатеринбург,Россия,1495066,1723,Уральский,Плотинка
Новосибирск,Россия,1625631,1893,Сибирский,Театр оперы и балета
Сочи,Россия,466078,1838,Южный,Олимпийский парк
Владивосток,Россия,603519,1860,Дальневосточный,Золотой мост
Калининград,Россия,489735,1255,Северо-Западный,Кёнигсбергский собор
